Xd;Yd;Xu;Yu
627.6557;318.6005;32.0000;33.0000
657.4441;317.4222;33.0000;33.0000
687.0562;316.2733;34.0000;33.0000
716.4061;315.1845;35.0000;33.0000
746.0650;314.1215;36.0000;33.0000
775.8260;312.9858;37.0000;33.0000
805.6961;311.8508;38.0000;33.0000
835.6068;310.7731;39.0000;33.0000
865.6136;309.8470;40.0000;33.0000
895.5323;308.9959;41.0000;33.0000
925.5379;308.1323;42.0000;33.0000
955.5701;307.2754;43.0000;33.0000
985.5900;306.4116;44.0000;33.0000
1015.7247;305.5908;45.0000;33.0000
1045.9163;304.7953;46.0000;33.0000
1075.9719;304.0945;47.0000;33.0000
1106.2917;303.6291;48.0000;33.0000
1136.4306;303.2127;49.0000;33.0000
1166.4589;302.6247;50.0000;33.0000
1196.5142;302.0220;51.0000;33.0000
1226.5809;301.6351;52.0000;33.0000
1256.8757;301.5110;53.0000;33.0000
1286.7397;301.3917;54.0000;33.0000
1317.0674;301.2735;55.0000;33.0000
1346.7876;301.2011;56.0000;33.0000
1377.0154;300.9759;57.0000;33.0000
1406.6457;300.7282;58.0000;33.0000
1436.5369;300.6102;59.0000;33.0000
1466.4389;300.6130;60.0000;33.0000
1496.1653;300.7387;61.0000;33.0000
1526.0383;300.9475;62.0000;33.0000
1555.3714;301.0884;63.0000;33.0000
1584.7731;301.1656;64.0000;33.0000
1614.2515;301.2930;65.0000;33.0000
1643.7485;301.4222;66.0000;33.0000
1673.0969;301.5205;67.0000;33.0000
1702.2964;301.7100;68.0000;33.0000
1731.2836;302.0705;69.0000;33.0000
1760.3946;302.5653;70.0000;33.0000
1789.2067;303.0039;71.0000;33.0000
1818.2314;303.4862;72.0000;33.0000
1846.7297;303.9762;73.0000;33.0000
1875.1966;304.3380;74.0000;33.0000
1903.6712;304.7449;75.0000;33.0000
1932.3251;305.5412;76.0000;33.0000
1960.4444;306.2395;77.0000;33.0000
1988.5723;306.7772;78.0000;33.0000
2016.8519;307.4960;79.0000;33.0000
2044.5773;308.4139;80.0000;33.0000
2072.2412;309.2277;81.0000;33.0000
2099.8904;310.0626;82.0000;33.0000
2127.0583;310.7382;83.0000;33.0000
2154.4344;311.3161;84.0000;33.0000
2181.3777;312.0583;85.0000;33.0000
2208.4163;312.8683;86.0000;33.0000
2235.0999;313.6975;87.0000;33.0000
2261.7271;314.5886;88.0000;33.0000
2288.4624;315.5168;89.0000;33.0000
2314.6505;316.5420;90.0000;33.0000
2340.5210;317.6818;91.0000;33.0000
2366.7867;318.6789;92.0000;33.0000
86.3399;376.0179;13.0000;34.0000
113.6816;374.5947;14.0000;34.0000
141.3244;372.8367;15.0000;34.0000
169.0989;371.1028;16.0000;34.0000
196.6614;369.4652;17.0000;34.0000
224.6776;367.8202;18.0000;34.0000
252.6583;366.0537;19.0000;34.0000
280.9986;364.4188;20.0000;34.0000
309.1644;362.8806;21.0000;34.0000
337.4861;361.3173;22.0000;34.0000
365.9469;359.7004;23.0000;34.0000
394.8469;358.2812;24.0000;34.0000
423.4887;356.9981;25.0000;34.0000
452.3230;355.4866;26.0000;34.0000
481.4591;353.8747;27.0000;34.0000
510.4242;352.5380;28.0000;34.0000
539.5293;351.2182;29.0000;34.0000
569.0735;349.9830;30.0000;34.0000
597.9892;348.8163;31.0000;34.0000
627.6034;347.6390;32.0000;34.0000
657.3932;346.5079;33.0000;34.0000
686.9251;345.4125;34.0000;34.0000
716.3225;344.3167;35.0000;34.0000
746.0262;343.2654;36.0000;34.0000
775.8264;342.2052;37.0000;34.0000
805.7233;341.1370;38.0000;34.0000
835.6538;340.1190;39.0000;34.0000
865.6633;339.0841;40.0000;34.0000
895.6844;338.1439;41.0000;34.0000
925.6436;337.2640;42.0000;34.0000
955.7506;336.3718;43.0000;34.0000
985.8478;335.4974;44.0000;34.0000
1016.1203;334.6564;45.0000;34.0000
1046.1602;333.9342;46.0000;34.0000
1076.4256;333.4766;47.0000;34.0000
1106.5030;333.0447;48.0000;34.0000
1136.6019;332.3602;49.0000;34.0000
1167.0463;331.7166;50.0000;34.0000
1196.8305;331.4069;51.0000;34.0000
1227.3902;331.1015;52.0000;34.0000
1257.4080;330.6234;53.0000;34.0000
1287.4950;330.1901;54.0000;34.0000
1317.7927;329.9205;55.0000;34.0000
1347.5924;329.7827;56.0000;34.0000
1377.7714;329.6982;57.0000;34.0000
1407.5705;329.6388;58.0000;34.0000
1437.3318;329.6217;59.0000;34.0000
1467.3457;329.6206;60.0000;34.0000
1496.8708;329.6217;61.0000;34.0000
1526.8189;329.6531;62.0000;34.0000
1556.3816;329.6248;63.0000;34.0000
1585.7297;329.6284;64.0000;34.0000
1615.3093;329.8477;65.0000;34.0000
1644.8527;330.1779;66.0000;34.0000
1674.1857;330.5436;67.0000;34.0000
1703.3567;330.9107;68.0000;34.0000
1732.4165;331.2369;69.0000;34.0000
1761.4910;331.4088;70.0000;34.0000
1790.4091;331.6993;71.0000;34.0000
1819.4655;332.2827;72.0000;34.0000
1848.1107;332.6745;73.0000;34.0000
1876.6705;332.9753;74.0000;34.0000
1905.0068;333.5592;75.0000;34.0000
1933.5580;334.1837;76.0000;34.0000
1962.0258;334.7346;77.0000;34.0000
1989.9809;335.4096;78.0000;34.0000
2018.3680;336.2295;79.0000;34.0000
2046.0666;336.9114;80.0000;34.0000
2073.9864;337.5635;81.0000;34.0000
2101.3193;338.0363;82.0000;34.0000
2128.6221;338.5880;83.0000;34.0000
2156.1043;339.4862;84.0000;34.0000
2182.9511;340.3711;85.0000;34.0000
2210.1485;341.2175;86.0000;34.0000
2236.7999;341.9551;87.0000;34.0000
2263.5416;342.5914;88.0000;34.0000
2290.1097;343.4534;89.0000;34.0000
2316.3605;344.3147;90.0000;34.0000
2342.5586;345.2456;91.0000;34.0000
2368.4282;346.4678;92.0000;34.0000
2394.1415;347.4729;93.0000;34.0000
85.7814;404.6520;13.0000;35.0000
113.3521;403.1521;14.0000;35.0000
140.9694;401.6039;15.0000;35.0000
168.4467;399.9971;16.0000;35.0000
195.9945;398.4511;17.0000;35.0000
224.1065;396.7621;18.0000;35.0000
252.1396;395.0847;19.0000;35.0000
280.4049;393.4441;20.0000;35.0000
